doc00	1	470.4	327.7	0.1	320.3	0	0	0	0	1118.5
doc00	2	229.8	293.9	0	0	0	0	0	0	523.8
doc00	3	425.6	296.6	0	0	0	0	0	0	722.3
doc00	4	445.8	310.3	0	174.2	0	0	0	0	930.4
doc01	1	344.9	361.8	0.1	361.5	0	0	0	0	1068.4
doc01	2	78.9	294.6	70	5	0	0	0	0	448.4
doc01	3	101.4	122.3	120.3	38.7	0	0	0	0	382.6
doc02	1	90.8	282	0.1	0.1	0	0	0	0	372.9
doc02	2	59.2	180.1	0.2	5.3	0	0	0	0	244.9
doc02	3	50.6	59.4	60.1	4.8	7.7	0	0	0	182.6
doc02	4	46.7	80.7	51.9	7.4	6.8	0	0	0	193.5
doc03	1	79.1	67.7	120.2	159.6	1.7	0	0	0	428.3
doc03	2	0	0	0	0	0	0	274	0	274
doc04	1	222.5	108.2	0.1	0	0	0	0	0	330.7
doc04	2	38.8	44.5	0.5	5.1	0	0	0	0	88.9
doc04	3	69	52.2	53.4	5	3.8	0	0	0	183.4
doc04	4	165.6	113.3	0	0	0	0	0	0	279
doc05	1	89.7	62.6	61.2	7.3	25.4	0	0	0	246.3
doc07	1	176.9	127.4	60.8	6.2	11.6	0	0	0	382.9
doc08	1	0	0	0	0	0	0.4	0	0	0.4
